PROCEDIMENTO,"RN (alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
"IMUNOFENOTIPAGEM PARA LEUCEMIAS AGUDAS E CRÔNICAS, SINDROME MIELODISPLÁSICA ETRANSTORNOS MIELOPROLIFERATIVOS",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
IMUNOFENOTIPAGEM PARA LINFOMAS NÃO-HODGKIN / SINDROMES LINFOPROLIFERATIVAS CRÔNICAS,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
"INIBIDOR DO FATOR IX, DOSAGEM OU PESQUISA",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
INIBIDOR DOS FATORES DA HEMOSTASIA (COM DIRETRIZ DE UTILIZAÇÃO),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,49.0,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
"LINFONODO, EXAME DE ESFREGAÇO DE ASPIRADO",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
META-HEMOGLOBINA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
MIELOGRAMA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
"PIRUVATO QUINASE, TRIAGEM PARA DEFICIÊNCIA",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
"PLAQUETAS, TESTE DE AGREGAÇÃO",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
"PLASMINOGÊNIO, DOSAGEM",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
"PROTEÍNA C, FUNCIONAL",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
"PROTEÍNA S, FUNCIONAL",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
"PROTEÍNA S LIVRE, DOSAGEM",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
PROVA DO LAÇO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
RESISTÊNCIA GLOBULAR,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
RETRAÇÃO DO COÁGULO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
"RISTOCETINA, CO-FATOR",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
SULFO-HEMOGLOBINA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
TEMPO DE COAGULAÇÃO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
TEMPO DE LISE DE EUGLOBULINA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
TEMPO DE PROTROMBINA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
TEMPO DE SANGRAMENTO DE IVY,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
TEMPO DE TROMBINA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
TESTE DE HAM (HEMÓLISE ÁCIDA),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
TROMBOELASTOGRAMA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,HEMATOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
"1,25-DIIDROXIVITAMINA D3",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
11-DESOXICORTICOSTERONA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
17-ALFA-HIDROXIPROGESTERONA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
17-CETOSTERÓIDES TOTAIS (17-CTS),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
"17-CETOSTERÓIDES, FRACIONAMENTO",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
17-HIDROXICORTICOSTERÓIDES (17-OHS),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
17-HIDROXIPREGNENOLONA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3 ALFA-ANDROSTANEDIOL GLICURONÍDEO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
ÁCIDO 5-HIDROXINDOLACÉTICO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
ÁCIDO HOMOVANÍLICO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
ÁCIDO VANILMANDÉLICO (VMA),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
ALDOSTERONA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
AMP CÍCLICO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
ANDROSTENEDIONA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
CALCITONINA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
COMPOSTO S (11 - DESOXICORTISOL),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
CORTISOL,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
CORTISOL LIVRE,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
CURVA GLICÊMICA (6 DOSAGENS),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
CURVA INSULÍNICA (6 DOSAGENS),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
DEHIDROEPIANDROSTERONA (DHEA),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
DEHIDROTESTOSTERONA (DHT),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
DOSAGEM DE LH OU FSH COM OU SEM TESTE DE ESTÍMULO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
ENZIMA CONVERSORA DA ANGIOTENSINA (ECA),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
ERITROPOIETINA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
ESTRADIOL,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
ESTRIOL,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
ESTROGÊNIOS TOTAIS (FENOLESTERÓIDES) - PESQUISA E/OU DOSAGEM,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
ESTRONA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
GASTRINA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
GLOBULINA DE LIGAÇÃO DE HORMÔNIOS SEXUAIS (SHBG),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
GLOBULINA TRANSPORTADORA DA TIROXINA (TBG),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
GLUCAGON,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
HORMÔNIO ADRENOCORTICOTRÓFICO (ACTH),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
HORMÔNIO ANTIDIURÉTICO (VASOPRESSINA),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
HORMÔNIO DO CRESCIMENTO (HGH),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
HORMÔNIO FOLÍCULO ESTIMULANTE (FSH),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
HORMÔNIO GONADOTRÓFICO CORIÔNICO QUANTITATIVO (HCG-BETA-HCG),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
HORMÔNIO LUTEINIZANTE (LH),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
HORMÔNIO TIREOESTIMULANTE (TSH),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
"IGFBP3, PROTEÍNA DE LIGAÇÃO AO FATOR DE CRESCIMENTO SEMELHANTE À INSULINA - 3",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
ÍNDICE DE TIROXINA LIVRE (ITL),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
INSULINA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
MACROPROLACTINA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
N-TELOPEPTÍDEO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
OSTEOCALCINA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
PARATORMÔNIO - PTH,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
PEPTÍDEO C,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
PREGNANDIOL,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
PROGESTERONA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
PROLACTINA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
RENINA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
SOMATOMEDINA C (IGF1),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
SULFATO DE DEHIDROEPIANDROSTERONA (S-DHEA),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
T3 LIVRE,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
T3 RETENÇÃO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
T3 REVERSO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ENDOCRINOLOGIA LABORATORIAL,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
